doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,sentence,event_id,trigger_lemma,trigger_token,agent_key,patient_key,time_key,time_prep,location,location_key,negated,confidence
wn-0002,1,launch,launch,,Delta IV,,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost.",wn-0002:1:59,launch,59,,SPACECRAFT:Delta IV,,,,,False,0.7
wn-0002,1,failure,lost,,The dummy satellite,,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost.",wn-0002:1:94,lose,94,,,,,,,False,0.6
wn-0002,2,failure,malfunction,,rocket,,"Boeing's Vice President for Expendable Launch Systems, Dan Collins, said that the rocket malfunction was caused by a shorter first stage burn than was expected.",wn-0002:2:113,malfunction,113,,,,,,,False,0.55
wn-0002,3,failure,lost,,the fuel,,"This was compensated for during flight, however the fuel lost in the process limited final stages of the burn and was responsible for the payload not achieving orbit.",wn-0002:3:136,lose,136,,,,,,,False,0.6
wn-0002,4,launch,launch,,,,"A Boeing spokesman, Robert Villanueva, agreed that many flight objectives were achieved, but did not call the launch a success.",wn-0002:4:177,launch,177,,,,,,,False,0.5
wn-0002,5,launch,launch,,,next year,"“We do have an outstanding issue we need to work on before our first operational launch next year,” Villanueva said.",wn-0002:5:197,launch,197,,,DATE:next year,,,,False,0.55
wn-0002,7,launch,launch,,,,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.,wn-0002:7:241,launch,241,,,,,,,False,0.5
wn-0002,7,launch,Launch,,Expendable,,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.,wn-0002:7:252,launch,252,,,,,,,False,0.55
wn-0002,8,launch,launch,,Defense Support Program,2005,"Collins also reported, ""We now have enough information and confidence in the Delta IV Heavy to move forward with preparations for the upcoming Defense Support Program launch in 2005.",wn-0002:8:288,launch,288,,ORG:Defense Support Program,DATE:2005,,,,False,0.75
wn-0002,12,launch,lifted off,,The 23-story rocket,Dec. 21,"The 23-story rocket, a heavy-lift variant of the Delta 4 family, lifted off from Cape Canaveral Air Force Station in Florida on Dec. 21 at 4:50 p.m. (2150 GMT).",wn-0002:12:331,lift,331,,,DATE:Dec. 21,on,Cape Canaveral Air Force Station,FAC:Cape Canaveral Air Force Station,False,0.65
